latitude,longitude,timestamp
30.482307,114.30275,1708826444263
30.482309,114.30275,1708826444324
30.482309,114.302742,1708826444623
30.482309,114.302742,1708826445657
30.482311,114.302734,1708826446664
30.482311,114.302734,1708826447587
30.482311,114.302734,1708826448683
30.482311,114.302727,1708826449665
30.482311,114.302734,1708826450670
30.482309,114.302727,1708826451666
30.482309,114.302727,1708826452683
30.482309,114.302727,1708826453693
30.482311,114.302727,1708826454665
30.482311,114.302727,1708826455659
30.482311,114.302727,1708826456690
30.482311,114.302727,1708826457668
30.482311,114.302727,1708826458684
30.482313,114.302727,1708826459688
30.482313,114.302727,1708826460691
30.482313,114.302727,1708826461682
30.482313,114.302727,1708826462770
30.482313,114.302727,1708826463770
30.482313,114.302727,1708826464773
30.482313,114.302727,1708826465803
30.482313,114.302727,1708826466771
30.482313,114.302727,1708826467778
30.482313,114.302727,1708826468775
30.482313,114.302727,1708826469774
30.482313,114.302727,1708826470716
30.482321,114.302727,1708826471779
30.48233,114.302727,1708826472775
30.48234,114.302719,1708826473781
30.482353,114.302719,1708826474787
30.482368,114.302711,1708826475803
30.48238,114.302711,1708826476814
30.482389,114.302711,1708826477802
30.482399,114.302711,1708826478721
30.482414,114.302711,1708826479782
30.482424,114.302711,1708826480801
30.48243,114.302711,1708826481834
30.482431,114.302719,1708826482822
30.482437,114.302719,1708826483903
30.482439,114.302719,1708826484924
30.482441,114.302719,1708826485921
30.482441,114.302719,1708826486903
30.482441,114.302719,1708826487892
30.482443,114.302719,1708826488930
30.482443,114.302719,1708826489911
30.482443,114.302719,1708826490817
30.482443,114.302719,1708826491913
30.482443,114.302719,1708826492909
30.482443,114.302719,1708826493893
30.482443,114.302711,1708826494932
30.482443,114.302711,1708826495916
30.482441,114.302711,1708826496936
30.482441,114.302711,1708826497923
30.482441,114.302711,1708826498900
30.482439,114.302711,1708826499915
30.482439,114.302719,1708826500931
30.482437,114.302719,1708826502021
30.482437,114.302719,1708826503013
30.482437,114.302719,1708826504023
30.482435,114.302719,1708826505033
30.482435,114.302719,1708826506011
30.482435,114.302719,1708826507022
30.482435,114.302719,1708826508031
30.482435,114.302719,1708826509021
30.482435,114.302719,1708826510032
30.482435,114.302719,1708826511032
30.482435,114.302719,1708826512002
30.482435,114.302719,1708826513023
30.482439,114.302719,1708826514003
30.482447,114.302711,1708826515042
30.482454,114.302711,1708826516032
30.482462,114.302711,1708826517040
30.482468,114.302711,1708826518026
30.482473,114.302711,1708826519014
30.482479,114.302711,1708826520059
30.482487,114.302704,1708826521106
30.482491,114.302704,1708826522143
30.482496,114.302704,1708826523139
30.482504,114.302696,1708826524121
30.482512,114.302696,1708826525135
30.482517,114.302696,1708826526104
30.482525,114.302696,1708826527106
30.482533,114.302689,1708826528144
30.48254,114.302689,1708826529127
30.482546,114.302681,1708826530140
30.482553,114.302681,1708826531026
30.482561,114.302681,1708826532139
30.482569,114.302681,1708826533141
30.482576,114.302681,1708826534141
30.48258,114.302681,1708826535125
30.482586,114.302673,1708826536144
30.482592,114.302673,1708826537160
30.482597,114.302673,1708826538212
30.482599,114.302666,1708826539244
30.482605,114.302666,1708826540219
30.482607,114.302666,1708826541250
30.482609,114.302666,1708826542218
30.482613,114.302666,1708826543242
30.482615,114.302666,1708826544233
30.482618,114.302658,1708826545220
30.482622,114.302658,1708826546233
30.482628,114.30265,1708826547243
30.482634,114.30265,1708826548241
30.482637,114.302643,1708826549258
30.482643,114.302643,1708826550387
30.482651,114.302643,1708826551272
30.482656,114.302635,1708826552258
30.48266,114.302635,1708826553257
30.482662,114.302635,1708826554241
30.482666,114.302643,1708826555253
30.482668,114.302643,1708826556343
30.48267,114.30265,1708826557343
30.48267,114.30265,1708826558341
30.48267,114.302658,1708826559344
30.48267,114.302666,1708826560463
30.482672,114.302673,1708826561346
30.482672,114.302681,1708826562333
30.482672,114.302696,1708826563352
30.482672,114.302696,1708826564325
30.482674,114.302711,1708826565261
30.482674,114.302719,1708826566344
30.482672,114.302727,1708826567354
30.482672,114.302727,1708826568324
30.482672,114.302734,1708826569337
30.482672,114.302742,1708826570319
30.482672,114.302742,1708826571261
30.482672,114.30275,1708826572253
30.482674,114.30275,1708826573259
30.482674,114.302757,1708826574363
30.482676,114.302765,1708826575450
30.482676,114.302765,1708826576450
30.482676,114.302773,1708826577439
30.482677,114.30278,1708826578459
30.482679,114.302788,1708826579443
30.482681,114.302795,1708826580523
30.482681,114.302795,1708826581443
30.482683,114.302803,1708826582445
30.482687,114.302811,1708826583465
30.482689,114.302818,1708826584467
30.482689,114.302826,1708826585462
30.482687,114.302834,1708826586450
30.482685,114.302841,1708826587455
30.482683,114.302849,1708826588426
30.482681,114.302856,1708826589453
30.482685,114.302864,1708826590458
30.482687,114.302872,1708826591461
30.482691,114.302872,1708826592468
30.482693,114.302879,1708826593572
30.482697,114.302887,1708826594560
30.482698,114.302895,1708826595530
30.482698,114.302902,1708826596543
30.482698,114.30291,1708826597536
30.482697,114.30291,1708826598542
30.482697,114.302917,1708826599588
30.482695,114.302917,1708826600524
30.482697,114.302925,1708826601579
30.482697,114.302933,1708826602542
30.482698,114.30294,1708826603548
30.482702,114.302948,1708826604561
30.482704,114.302956,1708826605543
30.482704,114.302963,1708826606556
30.482704,114.302963,1708826607572
30.482702,114.302971,1708826608553
30.4827,114.302979,1708826609674
30.4827,114.302986,1708826610627
30.482698,114.302994,1708826611625
30.482698,114.303001,1708826612665
30.482698,114.303009,1708826613657
30.4827,114.303017,1708826614653
30.4827,114.303032,1708826615665
30.4827,114.303032,1708826616652
30.482702,114.30304,1708826617649
30.482704,114.30304,1708826618654
30.482706,114.303047,1708826619671
30.482706,114.303055,1708826620663
30.482704,114.303062,1708826621655
30.482704,114.30307,1708826622652
30.482704,114.303078,1708826623666
30.482704,114.303078,1708826624565
