frame_id,timestamp
0,1708828564.627
1,1708828564.677
2,1708828564.727
3,1708828564.777
4,1708828564.827
5,1708828564.877
6,1708828564.927
7,1708828564.977
8,1708828565.027
9,1708828565.077
10,1708828565.127
11,1708828565.177
12,1708828565.227
13,1708828565.277
14,1708828565.327
15,1708828565.377
16,1708828565.427
17,1708828565.477
18,1708828565.527
19,1708828565.577
20,1708828565.627
21,1708828565.677
22,1708828565.727
23,1708828565.777
24,1708828565.827
25,1708828565.877
26,1708828565.927
27,1708828565.977
28,1708828566.027
29,1708828566.077
30,1708828566.127
31,1708828566.177
32,1708828566.227
33,1708828566.277
34,1708828566.327
35,1708828566.377
36,1708828566.427
37,1708828566.477
38,1708828566.527
39,1708828566.577
40,1708828566.627
41,1708828566.677
42,1708828566.727
43,1708828566.777
44,1708828566.827
45,1708828566.877
46,1708828566.927
47,1708828566.977
48,1708828567.027
49,1708828567.077
50,1708828567.127
51,1708828567.177
52,1708828567.227
53,1708828567.277
54,1708828567.327
55,1708828567.377
56,1708828567.427
57,1708828567.477
58,1708828567.527
59,1708828567.577
60,1708828567.627
61,1708828567.677
62,1708828567.795
63,1708828567.845
64,1708828567.895
65,1708828567.945
66,1708828567.995
67,1708828568.045
68,1708828568.095
69,1708828568.145
70,1708828568.195
71,1708828568.245
72,1708828568.295
73,1708828568.345
74,1708828568.395
75,1708828568.445
76,1708828568.495
77,1708828568.545
78,1708828568.595
79,1708828568.645
80,1708828568.695
81,1708828568.745
82,1708828568.795
83,1708828568.845
84,1708828568.895
85,1708828568.945
86,1708828568.995
87,1708828569.045
88,1708828569.095
89,1708828569.145
90,1708828569.195
91,1708828569.245
92,1708828569.295
93,1708828569.345
94,1708828569.395
95,1708828569.445
96,1708828569.495
97,1708828569.545
98,1708828569.595
99,1708828569.645
100,1708828569.695
101,1708828569.745
102,1708828569.795
103,1708828569.845
104,1708828569.895
105,1708828569.945
106,1708828569.995
107,1708828570.045
108,1708828570.095
109,1708828570.145
110,1708828570.195
111,1708828570.245
112,1708828570.295
113,1708828570.345
114,1708828570.395
115,1708828570.445
116,1708828570.495
117,1708828570.545
118,1708828570.595
119,1708828570.645
120,1708828570.695
121,1708828570.745
122,1708828570.795
123,1708828570.845
124,1708828570.895
125,1708828570.945
126,1708828570.995
127,1708828571.045
128,1708828571.095
129,1708828571.145
130,1708828571.195
131,1708828571.245
132,1708828571.295
133,1708828571.345
134,1708828571.395
135,1708828571.445
136,1708828571.495
137,1708828571.545
138,1708828571.595
139,1708828571.645
140,1708828571.695
141,1708828571.745
142,1708828571.795
143,1708828571.845
144,1708828571.895
145,1708828571.945
146,1708828571.995
147,1708828572.045
148,1708828572.095
149,1708828572.145
150,1708828572.195
151,1708828572.245
152,1708828572.295
153,1708828572.345
154,1708828572.395
155,1708828572.445
156,1708828572.495
157,1708828572.545
158,1708828572.595
159,1708828572.645
160,1708828572.695
161,1708828572.745
162,1708828572.795
163,1708828572.845
164,1708828572.895
165,1708828572.945
166,1708828572.995
167,1708828573.045
168,1708828573.095
169,1708828573.145
170,1708828573.195
171,1708828573.245
172,1708828573.295
173,1708828573.345
174,1708828573.395
175,1708828573.445
176,1708828573.495
177,1708828573.545
178,1708828573.595
179,1708828573.645
180,1708828573.695
181,1708828573.745
182,1708828573.795
183,1708828573.845
184,1708828573.895
185,1708828573.945
186,1708828573.995
187,1708828574.045
188,1708828574.095
189,1708828574.145
190,1708828574.195
191,1708828574.245
192,1708828574.295
193,1708828574.345
194,1708828574.395
195,1708828574.445
196,1708828574.495
197,1708828574.545
198,1708828574.595
199,1708828574.645
200,1708828574.695
201,1708828574.745
202,1708828574.795
203,1708828574.845
204,1708828574.895
205,1708828574.945
206,1708828574.995
207,1708828575.045
208,1708828575.095
209,1708828575.145
210,1708828575.195
211,1708828575.245
212,1708828575.295
213,1708828575.345
214,1708828575.395
215,1708828575.445
216,1708828575.495
217,1708828575.545
218,1708828575.595
219,1708828575.645
220,1708828575.695
221,1708828575.745
222,1708828575.795
223,1708828575.845
224,1708828575.895
225,1708828575.945
226,1708828575.995
227,1708828576.045
228,1708828576.095
229,1708828576.145
230,1708828576.195
231,1708828576.245
232,1708828576.295
233,1708828576.345
234,1708828576.395
235,1708828576.445
236,1708828576.495
237,1708828576.545
238,1708828576.595
239,1708828576.645
240,1708828576.695
241,1708828576.745
242,1708828576.795
243,1708828576.845
244,1708828576.895
245,1708828576.945
246,1708828576.995
247,1708828577.045
248,1708828577.095
249,1708828577.145
250,1708828577.195
251,1708828577.245
252,1708828577.295
253,1708828577.345
254,1708828577.395
255,1708828577.445
256,1708828577.495
257,1708828577.545
258,1708828577.595
259,1708828577.645
260,1708828577.695
261,1708828577.745
262,1708828577.795
263,1708828577.845
264,1708828577.895
265,1708828577.945
266,1708828577.995
267,1708828578.045
268,1708828578.095
269,1708828578.145
270,1708828578.195
271,1708828578.245
272,1708828578.295
273,1708828578.345
274,1708828578.395
275,1708828578.445
276,1708828578.495
277,1708828578.545
278,1708828578.595
279,1708828578.645
280,1708828578.695
281,1708828578.745
282,1708828578.795
283,1708828578.845
284,1708828578.895
285,1708828578.945
286,1708828578.995
287,1708828579.045
288,1708828579.095
289,1708828579.145
290,1708828579.195
291,1708828579.245
292,1708828579.295
293,1708828579.345
294,1708828579.395
295,1708828579.445
296,1708828579.495
297,1708828579.545
298,1708828579.595
299,1708828579.645
300,1708828579.695
301,1708828579.745
302,1708828579.795
303,1708828579.845
304,1708828579.895
305,1708828579.945
306,1708828579.995
307,1708828580.045
308,1708828580.095
309,1708828580.145
310,1708828580.195
311,1708828580.245
312,1708828580.295
313,1708828580.345
314,1708828580.395
315,1708828580.445
316,1708828580.495
317,1708828580.545
318,1708828580.595
319,1708828580.645
320,1708828580.695
321,1708828580.745
322,1708828580.795
323,1708828580.845
324,1708828580.895
325,1708828580.945
326,1708828580.995
327,1708828581.045
328,1708828581.095
329,1708828581.145
330,1708828581.195
331,1708828581.245
332,1708828581.295
333,1708828581.345
334,1708828581.395
335,1708828581.445
336,1708828581.495
337,1708828581.545
338,1708828581.595
339,1708828581.645
340,1708828581.695
341,1708828581.745
342,1708828581.795
343,1708828581.845
344,1708828581.895
345,1708828581.945
346,1708828581.995
347,1708828582.045
348,1708828582.095
349,1708828582.145
350,1708828582.195
351,1708828582.245
352,1708828582.295
353,1708828582.345
354,1708828582.395
355,1708828582.445
356,1708828582.495
357,1708828582.545
358,1708828582.595
359,1708828582.645
360,1708828582.695
361,1708828582.745
362,1708828582.795
363,1708828582.845
364,1708828582.895
365,1708828582.945
366,1708828582.995
367,1708828583.045
368,1708828583.095
369,1708828583.145
370,1708828583.195
371,1708828583.245
372,1708828583.295
373,1708828583.345
374,1708828583.395
375,1708828583.445
376,1708828583.495
377,1708828583.545
378,1708828583.595
379,1708828583.645
380,1708828583.695
381,1708828583.745
382,1708828583.795
383,1708828583.845
384,1708828583.895
385,1708828583.945
386,1708828583.995
387,1708828584.045
388,1708828584.095
389,1708828584.145
390,1708828584.195
391,1708828584.245
392,1708828584.295
393,1708828584.345
394,1708828584.395
395,1708828584.445
396,1708828584.495
397,1708828584.545
398,1708828584.595
399,1708828584.645
400,1708828584.695
401,1708828584.745
402,1708828584.795
403,1708828584.845
404,1708828584.895
405,1708828584.945
406,1708828584.995
407,1708828585.045
408,1708828585.095
409,1708828585.145
410,1708828585.195
411,1708828585.245
412,1708828585.295
413,1708828585.345
414,1708828585.395
415,1708828585.445
416,1708828585.495
417,1708828585.545
418,1708828585.595
419,1708828585.645
420,1708828585.695
421,1708828585.745
422,1708828585.795
423,1708828585.845
424,1708828585.895
425,1708828585.945
426,1708828585.995
427,1708828586.045
428,1708828586.095
