frame_id,timestamp
0,1708828612.785
1,1708828612.805
2,1708828612.825
3,1708828612.845
4,1708828612.865
5,1708828612.885
6,1708828612.905
7,1708828612.935
8,1708828612.955
9,1708828612.975
10,1708828612.995
11,1708828613.015
12,1708828613.035
13,1708828613.055
14,1708828613.075
15,1708828613.105
16,1708828613.125
17,1708828613.145
18,1708828613.165
19,1708828613.185
20,1708828613.205
21,1708828613.225
22,1708828613.255
23,1708828613.275
24,1708828613.295
25,1708828613.315
26,1708828613.335
27,1708828613.355
28,1708828613.375
29,1708828613.395
30,1708828613.425
31,1708828613.445
32,1708828613.465
33,1708828613.485
34,1708828613.505
35,1708828613.525
36,1708828613.545
37,1708828613.575
38,1708828613.595
39,1708828613.615
40,1708828613.635
41,1708828613.655
42,1708828613.675
43,1708828613.695
44,1708828613.715
45,1708828613.745
46,1708828613.765
47,1708828613.785
48,1708828613.805
49,1708828613.825
50,1708828613.845
51,1708828613.865
52,1708828613.895
53,1708828613.915
54,1708828613.935
55,1708828613.955
56,1708828613.975
57,1708828613.995
58,1708828614.015
59,1708828614.035
60,1708828614.065
61,1708828614.085
62,1708828614.105
63,1708828614.125
64,1708828614.145
65,1708828614.165
66,1708828614.185
67,1708828614.215
68,1708828614.235
69,1708828614.255
70,1708828614.275
71,1708828614.295
72,1708828614.315
73,1708828614.335
74,1708828614.355
75,1708828614.385
76,1708828614.405
77,1708828614.425
78,1708828614.445
79,1708828614.465
80,1708828614.485
81,1708828614.505
82,1708828614.535
83,1708828614.555
84,1708828614.575
85,1708828614.595
86,1708828614.615
87,1708828614.635
88,1708828614.655
89,1708828614.675
90,1708828614.705
91,1708828614.725
92,1708828614.745
93,1708828614.765
94,1708828614.785
95,1708828614.805
96,1708828614.825
97,1708828614.855
98,1708828614.875
99,1708828614.895
100,1708828614.915
101,1708828614.935
102,1708828614.955
103,1708828614.975
104,1708828614.995
105,1708828615.025
106,1708828615.045
107,1708828615.065
108,1708828615.085
109,1708828615.105
110,1708828615.125
111,1708828615.145
112,1708828615.175
113,1708828615.195
114,1708828615.215
115,1708828615.235
116,1708828615.255
117,1708828615.275
118,1708828615.295
119,1708828615.315
120,1708828615.345
121,1708828615.365
122,1708828615.385
123,1708828615.405
124,1708828615.425
125,1708828615.445
126,1708828615.465
127,1708828615.495
128,1708828615.515
129,1708828615.535
130,1708828615.555
131,1708828615.575
132,1708828615.595
133,1708828615.615
134,1708828615.635
135,1708828615.665
136,1708828615.685
137,1708828615.705
138,1708828615.725
